perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Best_RMSE_Model,Best_Pearson_Model
OVOL2,0.2065084677243212,0.0798879979974838,0.2056304630963171,0.1088160595983245,0.2218659744992834,0.1113685722421725,0.20493056819137,0.1270698312318969,0.2044938450469412,0.1445680297257102,ElasticNet_1024,ElasticNet_1024
SMAD1,0.1611357687343568,0.0914921685993884,0.1609473779198328,0.0952877647962743,0.19388427593714,0.0519151739321825,0.1601330946305622,0.1261252026101242,0.1599186831442044,0.1364491798142124,ElasticNet_1024,ElasticNet_1024
EP300,0.1389615239430916,0.1055396187349377,0.139001430196488,0.0913111023783538,0.1616400012533348,0.1080897134190432,0.138499261178174,0.1245416209767134,0.1367437926894468,0.20063039412717,ElasticNet_1024,ElasticNet_1024
GATA6,0.2318341184555175,0.1064404383210667,0.231475251069635,0.0955041061232588,0.2719026846590043,0.0729758825075248,0.231088128609384,0.1240750681609468,0.2296076369414514,0.1675538458349984,ElasticNet_1024,ElasticNet_1024
KLF3,0.123747185449795,0.0948471675667611,0.1230388741094936,0.1168720257632769,0.1500132668340003,0.0965275875977055,0.1230645647710864,0.1231294715009692,0.1235019341945005,0.1041581220391528,XGBoost,ElasticNet
IRF4,0.1895611482298044,0.0911892256609322,0.1885230680080111,0.0358601278387516,0.2012732548913591,0.0865795211031332,0.1876872991267342,0.1230329593603618,0.1877153766622327,0.1232458150403242,ElasticNet,ElasticNet_1024
TBX5,0.201343328942666,0.1088946396579816,0.2011988608473724,0.0953484390780219,0.2113743155491671,0.0753024134905516,0.1992271241043892,0.1221564676043006,0.1985468047152446,0.1469612648224563,ElasticNet_1024,ElasticNet_1024
ELK3,0.0898596038526757,0.0967841581443537,0.09003387574227,0.0625673441509245,0.0992345444544944,0.0535217673251759,0.0889396931868078,0.119594563659705,0.0890785057909185,0.1033927727802449,ElasticNet,ElasticNet
FEZF2,0.1702152230884911,0.1198484709519733,0.1697523075216542,0.1318833027539036,0.1854155329872032,0.0840141679686056,0.169822404158282,0.1187285733350574,0.1706432298814854,0.0687886190191295,XGBoost,XGBoost
HMGN2,0.1746931152601958,0.0936026009914138,0.1730160890049512,0.0800770075382771,0.1849988022366379,0.0873791939117654,0.1724082972520178,0.1186092055334662,0.1723219596515646,0.1373115319379712,ElasticNet_1024,ElasticNet_1024
EPAS1,0.0970134365687684,0.099338498295051,0.0958299546763075,0.0683008581708374,0.1426303148753806,0.0343366806170497,0.0948637416184567,0.1151321852280809,0.095220830241105,0.0766125940022606,ElasticNet,ElasticNet
SOX9,0.1669764750969699,0.0636807069257333,0.1660903892301188,0.0527548822122086,0.1738464827559767,0.0760940209254208,0.1646329027986842,0.1150806034718737,0.1653149990110864,0.0734134531174842,ElasticNet,ElasticNet
