perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
HELZ2,0.230577350843161,0.2509386602252685,0.2272105512790194,0.2882838454361488,0.231823596480286,0.1812064315015374,0.2300097979519738,0.2437649719279856,0.2230654699195968,0.3423591272642676,0.09859415533628199,0.00694432803237699
HES4,0.2577387020075015,-0.0122117199248077,0.2174239587691189,-0.014874397525785,0.1674903204513484,0.0229224317068708,0.2113876909486954,-0.0195843661550617,0.211400646028298,-0.0203212071398889,-0.0007368409848272015,-1.295507960261122e-05
HES5,0.1011680863933311,0.060282643705775,0.1010083267972652,0.049789899274759,0.1182775169639551,-0.0195015173970663,0.1011312372397456,0.0267414005839849,0.1011441058424421,,,-1.2868602696503029e-05
HES7,0.3456536083150045,0.1160252066658543,0.3450251038400167,0.1075293219937356,0.4032994078638278,0.0787062416856037,0.3455444433287488,0.1119723078500779,0.3451209002665621,0.1208852019542092,0.008912894104131291,0.0004235430621866709
HHEX,0.2071899036014971,0.0572416537549644,0.2064229738492886,0.0786337981645104,0.2234272139992838,-0.0360579839846369,0.206834271215164,0.0475166496830896,0.2050462191198472,0.1397348308820418,0.0922181811989522,0.0017880520953168222
HIC1,0.1346288932693655,0.0516798306390935,0.1343236977356402,0.0281418032110766,0.1534690828396428,0.0358605374804171,0.1338428658379162,0.046257319942796,0.1338423410483484,0.0519496959094801,0.0056923759666841,5.2478956777402e-07
HIVEP1,0.1497944651784519,0.087267306882881,0.1487078339928343,0.1093737179062343,0.1705774907158642,0.0084646053894803,0.1487401306309676,0.1118582255852805,0.1489693755985518,0.1110740155795539,-0.0007842100057265933,-0.00022924496758419677
HMGA1,0.1923668711950966,0.0334760522671294,0.1901927736961808,0.0118676657499162,0.2009222617222406,-0.0011729432458894,0.1898643069161126,0.03923515174041,0.189982045433184,0.0104562490114281,-0.028778902728981898,-0.00011773851707139182
HMGN2,0.1758917481759574,0.069304850975644,0.1728336211176238,0.1024532040096582,0.1814830941633315,0.0558448626103224,0.172298221989655,0.111849644825188,0.1728055476515784,0.079801584608566,-0.032048060216622,-0.0005073256619234079
HMX3,0.1820678970240369,0.016977183491423,0.1812870850175136,0.0262625257614859,0.1921261040166973,0.0429683684054804,0.1813147992521178,0.0268624557897663,0.1813607017802556,-0.0129622903859767,-0.039824746175743,-4.590252813779783e-05
