perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
FEZF2,0.1702152230884911,0.1198484709519733,0.1697523075216542,0.1318833027539036,0.1854155329872032,0.0840141679686056,0.169822404158282,0.1187285733350574,0.1706432298814854,0.0687886190191295,-0.049939954315927904,-0.0008208257232033833
FLI1,0.2410953931545793,0.1016042095263936,0.2404160293220308,0.1184354219688177,0.2592036844542162,0.1099562431187353,0.239590064579343,0.1367669579298562,0.2397176729097997,0.1312469953735932,-0.005519962556262997,-0.00012760833045669107
FOSB,0.1520668889924403,0.2262252915329105,0.151893365481759,0.221267182946405,0.1789741096585001,0.1308485203241805,0.1508829209624456,0.2482778294626808,0.1472368403421118,0.3262412052347264,0.0779633757720456,0.003646080620333808
FOSL1,0.1230722562088358,0.0626828561436032,0.122387801073985,0.0926666836310763,0.1459750936350996,0.0090929248379117,0.1225797805279698,0.049667876589543,0.1225427626602602,0.0576917032257836,0.0080238266362406,3.7017867709612795e-05
FOSL2,0.1838450069003813,0.0303570912171167,0.1833071410832853,0.0486427814635204,0.2001741374017488,0.0695777914613514,0.1834606411175434,-0.0309922415544196,0.183374062830757,0.0331813277221112,0.0641735692765308,8.6578286786404e-05
FOXA3,0.203737523257026,0.0470296670828629,0.2032706247382144,0.0513762335353448,0.2154365211625233,0.1316694525063221,0.2028111286729784,0.0942899973049141,0.2028257103451702,0.094001908736779,-0.0002880885681351003,-1.4581672191787964e-05
FOXC1,0.2172238335457114,-0.0103177353621725,0.2148425232499772,0.0394557202933711,0.2389380658441735,0.02173715742813,0.2149897722449135,0.0255837022475925,0.2151393720251234,-0.0003981689083822,-0.0259818711559747,-0.00014959978020989695
FOXC2,0.3169285566796884,0.0092380150622243,0.3137682947990813,0.0519501342839715,0.3413954378683277,0.0430673938816256,0.3139850970936176,0.0377524304658728,0.3129840823678702,0.0877526329620616,0.05000020249618879,0.0010010147257474289
FOXD1,0.1328508497483508,0.0586709025439528,0.1332893780062239,0.0361115054501823,0.1460174589310901,0.0537108140890695,0.131699993150081,0.0984405793421047,0.1319296563520934,0.0984109327515908,-2.9646590513909832e-05,-0.00022966320201239787
FOXD2,0.1214473950585828,0.03750889239994,0.1208140316547738,0.080730465631982,0.1522368465588703,-0.0019275030498668,0.1209135076254334,0.0802749057670516,0.1205185959248792,0.1108519346152249,0.0305770288481733,0.00039491170055420965
