perturbation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
ZBTB10,0.03488006,0.027354034,0.026348924,0.036235273,0.028805908,0.030210145,0.028408105,0.031096227,0.029224535,0.03169836,0.030392231,0.033449717,0.031138504,0.031857636,0.036541976,0.03399526,0.026535535,0.03035155,0.036023922,0.045543984,0.030596903,0.026292032,0.031615227,0.030479096,0.03560127,0.030993413,0.028864369,0.026478302,0.029005107,0.028333131,0.032685824,0.028963452
ZBTB18,0.026847346,0.028337132,0.032454297,0.027364708,0.031312775,0.028441086,0.034941606,0.03314972,0.039170604,0.029031876,0.031629525,0.03035485,0.03500073,0.035476726,0.03618983,0.028303703,0.029252611,0.02401016,0.031424575,0.028649699,0.028668258,0.029563349,0.036478825,0.029632645,0.030014139,0.03568621,0.032376576,0.034534402,0.02839698,0.03339573,0.033531632,0.02637768
ZBTB37,0.029253403,0.03833672,0.037021946,0.032258295,0.033315007,0.029328622,0.03503639,0.032522973,0.033002656,0.025339713,0.029265385,0.030220158,0.031485524,0.03159862,0.025072977,0.035175893,0.03664128,0.026455255,0.025291346,0.03690389,0.027514203,0.03139962,0.03739054,0.029270852,0.03367766,0.028812202,0.023346582,0.034231145,0.028868154,0.034918472,0.026559563,0.030485032
ZBTB42,0.023878021,0.025944185,0.033029977,0.023777131,0.025909293,0.03436014,0.029690405,0.03808854,0.02296206,0.030448744,0.033675294,0.025006188,0.03003572,0.035777505,0.03929604,0.0352055,0.030607192,0.0368607,0.03150502,0.031959955,0.028015634,0.033240896,0.03474067,0.033772957,0.028381543,0.033089776,0.026307894,0.030059157,0.030190716,0.03734937,0.0318723,0.034961466
ZEB2,0.051143356,0.030662863,0.025720675,0.06392271,0.026107142,0.03529377,0.018005019,0.020264555,0.028824402,0.010831351,0.02317628,0.019396579,0.025710337,0.023230985,0.019631885,0.022867601,0.03921826,0.021747224,0.02335047,0.031863213,0.023848003,0.107170604,0.019985322,0.08190611,0.021802109,0.016202241,0.04462356,0.021448335,0.027029175,0.033382814,0.021662064,0.019971024
ZFP36L2,0.026116814,0.0431961,0.02716837,0.024264872,0.03205034,0.030296603,0.024536649,0.033952266,0.027710434,0.026560878,0.031024156,0.026733013,0.028584773,0.034776412,0.028054006,0.043008834,0.028297795,0.05632945,0.03763763,0.029287267,0.03437852,0.026630916,0.025558861,0.023034343,0.025564998,0.022695633,0.030514056,0.025082225,0.0249704,0.04932958,0.027077489,0.04557634
ZFPM2,0.028587235,0.024166826,0.022314942,0.10497459,0.041973945,0.061623815,0.026740093,0.030229645,0.023944575,0.032301597,0.0235254,0.027910933,0.027609853,0.031164845,0.02455444,0.025763283,0.020840526,0.029252913,0.02539024,0.027942445,0.031258784,0.036882382,0.029147888,0.03614968,0.022557909,0.023806445,0.022268988,0.029015189,0.027230326,0.032117873,0.029161215,0.0195912
ZIC2,0.024728755,0.023511123,0.03506054,0.034291416,0.026246281,0.030346882,0.026250534,0.031352915,0.02942578,0.029228091,0.023031693,0.03319587,0.028806124,0.032598823,0.034701347,0.037220594,0.033760805,0.026230032,0.035167627,0.032878533,0.032178547,0.031525936,0.034114443,0.027462102,0.03230796,0.03398014,0.034055058,0.036639053,0.032790393,0.033053603,0.03238719,0.031471785
ZNF136,0.029322758,0.025783772,0.029592814,0.031253252,0.03225788,0.03639625,0.031394888,0.037447624,0.030149277,0.02991302,0.029867088,0.034780405,0.033738416,0.03198313,0.032565407,0.021856317,0.032282334,0.02986238,0.029195428,0.034775842,0.032220475,0.035640653,0.023788134,0.034083948,0.033573158,0.03462542,0.03163698,0.029681796,0.031483866,0.02823107,0.030079527,0.030536767
ZNF286B,0.025953125,0.030039912,0.026268998,0.03207576,0.030109018,0.035255276,0.028040309,0.030660387,0.03083372,0.04549642,0.019156165,0.030152984,0.030232059,0.042813737,0.026533354,0.031225162,0.030326426,0.043148506,0.03216907,0.03157748,0.029168433,0.034736563,0.032603376,0.03021362,0.032883003,0.030553432,0.027727306,0.024798505,0.028903961,0.033455204,0.031601455,0.03128728
ZNF296,0.013818802,0.022834485,0.02149629,0.027008045,0.028957913,0.031306937,0.029147128,0.035578847,0.028761871,0.032689214,0.029054206,0.03047938,0.035160046,0.031823404,0.03678099,0.040760163,0.032940492,0.038213465,0.03467724,0.029419543,0.031378444,0.040147297,0.02952003,0.03117878,0.034346238,0.02725988,0.0314246,0.0348458,0.033202775,0.036471408,0.026531251,0.032785002
ZNF618,0.024910316,0.02492101,0.026122356,0.034286074,0.033128027,0.020765388,0.023723578,0.04018475,0.027023347,0.026700959,0.027950348,0.031983458,0.04224432,0.04567521,0.036366552,0.042231668,0.02714318,0.043151114,0.038087763,0.03066768,0.02299455,0.021740658,0.030140238,0.032105047,0.038085874,0.026872976,0.034408472,0.03384533,0.025805509,0.025630271,0.02873885,0.03236517
ZNF777,0.023923732,0.032465536,0.028945012,0.026069947,0.038618237,0.03475699,0.03174525,0.029933594,0.02710098,0.06707642,0.02865672,0.028158262,0.028714415,0.029021557,0.02012857,0.03334704,0.02994588,0.03877144,0.035283044,0.025171615,0.027335186,0.042972002,0.03457536,0.027222961,0.024344757,0.025479712,0.027976876,0.037678555,0.036803957,0.026360616,0.025813552,0.025602262
ZNF827,0.030034453,0.027369091,0.038239487,0.037047718,0.029169498,0.03806958,0.025662187,0.025140107,0.03187355,0.030284226,0.025834752,0.02946032,0.034506015,0.035876628,0.034069337,0.034257267,0.02924369,0.04016619,0.03144571,0.026084969,0.030597059,0.034372974,0.026281714,0.027748326,0.026108135,0.031682074,0.041512467,0.029735947,0.027319796,0.036402214,0.027442899,0.02696163
