perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson
INSM2,0.20033710265548144,0.10839713511444948,0.1998779502859642,0.1239978877203336,0.2235967822847385,0.0553137722142012,0.200181131209822,0.098586711386013
IRF1,0.22126218085838534,0.2296061642147707,0.2171927239965195,0.2663599320850999,0.2486937000606786,0.3360974829304506,0.217366127465378,0.226765350512428
IRF4,0.18956114822980444,0.09118922566093221,0.1885230680080111,0.0358601278387516,0.2012732548913591,0.0865795211031332,0.187687299126734,0.123032959360362
IRX3,0.1559434715892972,0.04283911828280933,0.1557981779254408,0.0299507109658688,0.1751235084234038,0.0350046795576434,0.15577390001658,0.0452910765596487
JDP2,0.1426879144600996,0.07688138607975949,0.14165551444516,0.0332665918602302,0.1591139290229448,0.0277178016429587,0.140891650873242,0.080438848482078
JUN,0.13847614657579058,0.07658060480770597,0.1380500040322017,0.0693140826667556,0.1639555538367381,0.0820859797619544,0.137988809683402,0.0973734891864576
JUNB,0.2790934215455984,0.0312186616722696,0.2772640469363189,0.029055599592714,0.2989023781978822,0.0460586016942765,0.275995575587608,0.0543766570891717
KLF15,0.1266425407379155,0.0785711140918958,0.1264331666061301,0.0812344209600227,0.1461552662160572,-0.0006748124135028,0.126522281487121,0.0700420457560177
KLF16,0.11982505786806387,0.058738564944903295,0.119546418377804,0.0712480495797956,0.1393793712723564,0.0613868587137566,0.119607499530108,0.0746309714429985
KLF2,0.17481747689836252,0.08055548405687829,0.1748010887953415,0.0654668800333367,0.1904172257930237,0.0974995229104525,0.174710971981207,0.0689203626398008
KLF3,0.12374718544979509,0.09484716756676115,0.1230388741094936,0.1168720257632769,0.1500132668340003,0.0965275875977055,0.123064564771086,0.123129471500969
KLF5,0.15461061930686562,0.07275717530206754,0.1542141797281405,0.0658910900790555,0.1683394337423469,0.0377564620285281,0.153920393258352,0.0855349348482589
KLF8,0.10706475687652757,0.1687164035113404,0.1069428503099814,0.167581056609643,0.1251613882423314,0.1425423563367894,0.107234489471236,0.150599502216008
LBX1,0.21545003342759153,0.0451471767213684,0.214736322880565,0.0644940729890761,0.2334061044431642,0.0633081873424247,0.214820686432851,
LHX2,0.11250037306415946,0.042151689134845335,0.1120737948582771,0.0520137598790493,0.1318338264675493,0.0070345025723446,0.111938410580984,0.0889831188002687
LHX4,0.12439575644889114,0.026445922469356897,0.1234581116943218,0.0462998106260904,0.1485078149892322,-0.0235403178024251,0.123284406506662,0.0844467258014292
