perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson
HOXC13,0.2667404967742248,0.021545145524183556,0.2657872762420809,0.016703058053825,0.2856044906453325,0.0323054156444196,0.265663861374258,
HOXC9,0.1989470991746301,-0.00989854672897975,0.1985542437553778,-0.0427211168137486,0.2023364521929364,-0.0222627113835297,0.196688586722335,
IFI16,0.142492823995469,0.1291354458520737,0.138427527888248,0.107495285055078,0.1438419304484923,-0.0026112033061963,0.137301407659205,0.136966970925376
IKZF2,0.15535654890933034,0.02186447347773211,0.1547049237946714,0.0411451297230062,0.1722109949972469,0.0124303430257754,0.154890348488049,
IKZF5,0.22145751945131323,0.0566247474186667,0.2206321836079971,0.0675704022208954,0.2361269206395207,-0.0160382693438102,0.220838696618688,0.0620370396058526
INSM2,0.20216214545313313,0.03705517270173916,0.2008607061125785,0.0717631327413837,0.2070054237999071,0.0479958620962529,0.201330848180442,0.0601890249271957
IRF1,0.21036325274171064,0.061975261372418135,0.2097345250679533,0.072106091194956,0.2362731709650309,0.0132749907350173,0.207307654073761,
IRF4,0.1911320619603081,0.03332546704664512,0.1882246384564315,0.0402085503107257,0.1982264637294106,-0.005397749993698,0.185745417760666,0.0557608791539309
IRX3,0.15651221523798717,0.01408302387335679,0.1558588501918076,0.0262281670749376,0.1741718922260494,0.0255758808801931,0.155852639649547,0.0255738634907809
JDP2,0.14379893846332736,0.012505302151717686,0.1416977782787801,0.0221857525717705,0.1413163648756268,0.0332931518435384,0.141084796974733,-0.0189624806129643
JUN,0.13911513842064704,0.01205598055330815,0.138672901224943,0.0076322617444096,0.1592807006790699,0.0415367128956014,0.138578316810712,0.0170495666957861
JUNB,0.2779785896696342,0.03852537420870795,0.2764610769326115,0.0427424342553899,0.2850377079730097,-0.0252447035023967,0.276515417930354,0.059057338753492
KLF15,0.12740599107678557,0.06782972188599606,0.1262597791120112,0.0996415787703393,0.1430808861986333,0.0424019593711831,0.126254705265899,0.0984121934602434
KLF16,0.12010545049383377,0.015212393909318717,0.1195644673192039,0.0180137203848359,0.1273939988627251,0.0665946741436716,0.119624755298238,0.0095187006602908
KLF2,0.17561289029721952,0.03093480055787638,0.1750911390056354,0.0393565748988306,0.1919185542585561,0.0553883035444041,0.175020291236938,0.0410054586490703
KLF3,0.12448615996753122,0.04085774493653913,0.1239854676618439,0.0228219630280898,0.1365229589283813,0.0154753855352197,0.123872323598198,0.0269173341523656
KLF5,0.15557899124644975,0.008644747906983488,0.1541735614901152,0.0105902743200065,0.1625869221383133,0.0520562701448981,0.153875602863758,
KLF8,0.10876880373785153,0.06834138469914153,0.1083771409874556,0.0476367357444914,0.1175549992526993,-0.0220077641586689,0.108505581884794,0.0372567646527959
LBX1,0.21557895670099173,0.03837736851156404,0.21478994983715,0.0352498517598796,0.2350945768959242,0.0067577775604384,0.214695438618957,
LHX2,0.11255839974036037,0.06610541737497952,0.112232845098475,0.0675411064589502,0.13411466898247,0.0186009076186899,0.112021364257777,0.0875863082220242
LHX4,0.1244455684763518,-0.01139644926136209,0.1236332741538761,-0.0112186750565846,0.1463361000918564,0.0128638348373465,0.12349417466471,
LHX6,0.1270249798922296,0.018468605871305895,0.1263908752516724,0.0127100944730658,0.1445664756068393,-0.0261155338889119,0.126152428610927,0.0465747338934271
LHX9,0.1867833550963787,0.00719278037878672,0.1852028095855695,0.0050007603267303,0.2363842289633432,-0.0059056296556664,0.185317108348814,0.0059677071611263
LYL1,0.1478714622615092,0.017229552194492962,0.1473102278326879,0.0137058658114612,0.1616734525329663,0.0276037331201798,0.147096447630307,0.0348994314934869
MBD4,0.13321553406211772,0.018982892878046616,0.1318593189023579,0.00194841081187,0.1406248080556404,0.0306429162820936,0.131861156256206,-0.0206798382045192
MECOM,0.21498477735858476,-0.009551057161534501,0.2138425055733393,0.0121893705929781,0.2399157654171989,-0.0366702356867912,0.213656211928748,0.0233280480182425
MESP1,0.09457992822853399,0.057208115349310126,0.094609320948878,0.0559841087760591,0.1055396248522516,-0.0433612167615094,0.0941476346714804,0.0566771976105653
MKX,0.13862595366665081,0.008628252203769468,0.1377730834593642,0.0426851368345832,0.1549955810402259,-0.0336009110330619,0.137807971578138,0.0467234286484611
MLXIP,0.14649764146266742,0.019156559352364787,0.1459159445665128,0.037834889947179,0.1670323369315458,-0.0189424223361128,0.145932740235388,0.0273359832961431
MMP3,0.49806493699295756,0.024255560320720564,0.3326515074088149,0.0085215557027377,0.1426374560400017,-0.0475764062107065,0.277144074777918,
MNX1,0.16755643521174787,0.03168726315336175,0.1667830857364476,0.0613060799551033,0.1841981172289337,0.0391030815535278,0.167008928009351,0.0268151457388308
MXI1,0.1869931938568723,0.15281761915476674,0.1855723325726734,0.1928213263236023,0.2093994708747311,0.072101702997505,0.18711953830035,0.140771558551368
MYBL1,0.1614949431748245,0.07675495178640585,0.1604190310808038,0.1270791064300271,0.1779269624723823,-0.0197985275897968,0.161090117518982,0.0844324642336555
MYC,0.19201377054372565,0.20337416708256226,0.1891421885168343,0.2595885946569227,0.1950095648315786,0.1062295683228807,0.192715929932181,0.179882399024559
