perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
LHX6,0.1445664756068393,-0.02611553388891197,0.14974938071153493,"(128, 64, 32)",0.01,0.0001
LHX9,0.23638422896334324,-0.005905629655666447,0.19928207775557177,"(128, 64, 32)",0.01,0.0001
LYL1,0.1616734525329663,0.027603733120179854,0.17080005203101983,"(64,)",0.001,0.001
MBD4,0.1406248080556404,0.03064291628209368,0.15523574729501657,"(64,)",0.001,0.001
MECOM,0.2399157654171989,-0.03667023568679127,0.2373749192606971,"(128, 64, 32)",0.01,0.0001
MESP1,0.10553962485225164,-0.04336121676150948,0.11482545922953262,"(32,)",0.001,0.001
MKX,0.15499558104022595,-0.0336009110330619,0.1633462838448129,"(32,)",0.001,0.001
MLXIP,0.1670323369315458,-0.018942422336112832,0.1697828869787122,"(128, 64, 32)",0.01,0.0001
MMP3,0.14263745604000175,-0.04757640621070652,0.3336367202859644,"(128, 64, 32)",0.01,0.0001
MNX1,0.18419811722893373,0.03910308155352781,0.1922794529326335,"(128, 64, 32)",0.01,0.0001
MXI1,0.20939947087473118,0.07210170299750501,0.20753037742416408,"(128, 64, 32)",0.01,0.0001
MYBL1,0.1779269624723823,-0.019798527589796836,0.18543615675570563,"(64,)",0.001,0.001
MYC,0.1950095648315786,0.10622956832288075,0.21645590740229492,"(128, 64, 32)",0.01,0.0001
MYCN,0.22567191448407903,0.05244122830654563,0.23974694519748158,"(128, 64, 32)",0.01,0.0001
MYOD1,0.14286578300041994,-0.024882204607184648,0.14720499930832184,"(32,)",0.001,0.001
MYRF,0.19260872123068695,0.03320212182309358,0.17729210120257927,"(128, 64, 32)",0.01,0.0001
NCOA3,0.12537441246944375,-0.03589135093864629,0.14080989245714995,"(32,)",0.001,0.001
NEUROD1,0.1806607177339463,0.026473423037079984,0.18244883057533445,"(128, 64, 32)",0.01,0.0001
NEUROD2,0.28696178070943906,0.007438682369909021,0.28169105633842256,"(128, 64, 32)",0.01,0.0001
NFATC1,0.18167597703094143,0.0216896671163501,0.17185710760388917,"(128, 64, 32)",0.01,0.0001
NFE2,0.15545444223532198,0.05727956579976493,0.1679094108387703,"(64,)",0.001,0.001
NFE2L2,0.1761535436117007,0.005413899126607708,0.21921374850132738,"(128, 64, 32)",0.01,0.0001
NFKBIA,0.16466864043846616,0.02894178129699433,0.18683205236507475,"(128, 64, 32)",0.01,0.0001
NHP2,0.1475273929385873,0.02712966187659072,0.16625928466336662,"(32,)",0.001,0.001
NKX1-2,0.1727411026702393,-0.022222706873946434,0.16787475402013166,"(64,)",0.001,0.001
NKX3-1,0.20762929782465692,0.07985084976916518,0.22766362149845332,"(128, 64, 32)",0.01,0.0001
