perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
LHX2,0.1318338264675493,0.007034502572344616,0.13213199027697325,"(32,)",0.001,0.001
LHX4,0.14850781498923227,-0.023540317802425107,0.14365349592243837,"(32,)",0.001,0.001
LHX6,0.16251239254782412,-0.04582812057204758,0.14325736266706693,"(32,)",0.001,0.001
LHX9,0.20043181651605166,0.019688491118948357,0.2069134335756488,"(128, 64, 32)",0.01,0.0001
LYL1,0.17623630749617986,0.056746235817420825,0.1677888679965886,"(128, 64, 32)",0.01,0.0001
MBD4,0.14843471549685397,0.025221080769875556,0.1558376548125488,"(128, 64, 32)",0.01,0.0001
MECOM,0.24170597941870053,-0.025415002049237967,0.23574577758972284,"(128, 64, 32)",0.01,0.0001
MESP1,0.10667431425234496,0.06941984195929415,0.11478706428163458,"(32,)",0.001,0.001
MKX,0.15539788498911725,0.07276265134678675,0.1585352678271212,"(128, 64, 32)",0.01,0.0001
MLXIP,0.1639007519700734,0.04650283234833567,0.16827814360667034,"(128, 64, 32)",0.01,0.0001
MMP3,0.13805945473361378,0.026900120667325784,0.3322062603586465,"(128, 64, 32)",0.001,0.0001
MNX1,0.18729353501808177,0.07357334848589385,0.18815259853713612,"(128, 64, 32)",0.01,0.0001
MXI1,0.19960689311107196,0.20215679294753064,0.20375800187753562,"(128, 64, 32)",0.01,0.0001
MYBL1,0.1901445504469936,0.061816426882041135,0.17956390256748964,"(128, 64, 32)",0.01,0.0001
MYC,0.19349517167217184,0.24219938195388072,0.20602855642290024,"(128, 64, 32)",0.01,0.0001
MYCN,0.2312324414901713,0.07813578967502526,0.2341079374893001,"(128, 64, 32)",0.01,0.0001
MYOD1,0.1488093182634043,-0.011559057609232261,0.14710958111335967,"(128, 64, 32)",0.01,0.0001
MYRF,0.17070934250584466,-0.0024934165352436173,0.18512117570622047,"(128, 64, 32)",0.01,0.0001
NCOA3,0.12483471583021111,0.03056122431486351,0.13838740383365217,"(32,)",0.001,0.001
NEUROD1,0.1701500622076709,0.13188454380209674,0.18074148979775473,"(128, 64, 32)",0.01,0.0001
