perturbation,mean_cor,mean_sqrt1mse,lambda_min,lambda_1se
KLF2,0.0870327555279501,,0.0373749345434872,0.118189920557125
KLF3,0.132143632913126,,0.0174349736556202,0.174349736556202
KLF5,0.0803483059416121,,0.0398420880118284,0.125991744854267
KLF8,0.145220024578024,,0.0289280778221291,0.19708469993308
KLF15,0.085867076241169,,0.0313663887718903,0.145589879874363
KLF16,0.0752434898415268,,0.0645602329159681,0.1390908053907
LBX1,,,0.101015977663677,0.101015977663677
LHX2,0.0728710794065388,,0.0354210193763133,0.112011098274107
LHX4,0.0940226807558347,,0.0224063094592707,0.152652409314595
LHX6,,,0.100268878903172,0.100268878903172
LHX9,,,0.065262324109319,0.0957919915309726
LYL1,0.0865694493933906,,0.0336374032890333,0.156130995498107
MBD4,,,0.0532007949120728,0.0780880878088524
MECOM,,,0.0617302495377866,0.0906076150616908
MESP1,,,0.0354996860277497,0.0764817550634242
MKX,0.104492396654393,,0.0139537310019993,0.139537310019993
MLXIP,0.0727722840511487,,0.0288840790196983,0.134068018647021
MMP3,,,0.123537856354108,0.123537856354108
MNX1,0.099239680503585,,0.0185345458830654,0.126274391137233
MXI1,0.228389888653908,0.221328167936453,0.0166244513431127,0.0771638677191308
MYBL1,0.171368892925002,0.153254581885802,0.0236125406785542,0.109599705146805
MYC,0.287841117665235,0.273485369364646,0.0105410796971194,0.227100677698649
MYCN,0.179914022380635,,0.009364675238538,0.201755811947889
MYOD1,0.0364060690337179,,0.0501795974811726,0.108108665545275
MYRF,0.0423764411677696,,0.0823584044163803,0.120885605684885
NCOA3,0.093225059639349,,0.049903548980767,0.157808878104998
NEUROD1,0.233515151078826,0.227620138652988,0.0181055382540701,0.181055382540701
NEUROD2,0.132974520122563,,0.0292840997550202,0.199510249125975
NFATC1,,,0.0962401147161947,0.0962401147161947
NFE2,0.0576545676966154,,0.0282713440290289,0.131223954756366
NFE2L2,0.0831205619841236,,0.0561832003259438,0.177666879267497
NFKBIA,,,0.037862989555453,0.0815733381665827
NHP2,0.0358478693172434,,0.050219786210101,0.0737125654193233
NKX1-2,0.0630978266660506,,0.0451170596229842,0.097201758363994
NKX3-1,0.130068758572146,,0.00894294941344723,0.131264545994391
NKX3-2,0.0595351425759324,,0.0292796015724281,0.0925902299511202
NKX6-2,,,0.0107353179567329,0.10735317956733
NME2,,,0.0764808037909704,0.112258467791534
NOTO,0.0979172746430319,,0.0127015573649572,0.186433365979439
NR2F2,0.113605980083304,,0.0255664096926407,0.174181921578827
NR4A1,,,0.0307834276881567,0.0663208844894527
NR4A3,,,0.0769736802986049,0.0769736802986049
NSD2,,,0.0102833701709377,0.102833701709377
ONECUT3,0.183469524897972,0.172417198992441,0.0330961943618214,0.225481747347097
OSR1,,,0.0520761354006639,0.112194632629988
OSR2,0.047206820214434,,0.0393136845680158,0.124320786448343
OVOL1,0.124828977407468,,0.0113915613922555,0.167205254686244
OVOL2,0.12653021084581,,0.0195450079513219,0.133158589069104
PARP1,,,0.102341292648331,0.102341292648331
PAX2,0.158677552664823,,0.0154236954285685,0.226388888540788
PAX3,0.0653266251028952,,0.0243104356973107,0.112839046872899
PAX5,0.17721864777878,,0.0155091684252535,0.227643460560144
PDX1,0.0616515222750663,,0.0295921722201571,0.137354696139427
PHOX2A,0.0951385735182946,,0.0262586273871013,0.178897945831803
PITX1,0.0581567214233834,,0.0510920554179244,0.110074496577408
PLAG1,0.0989238042069109,,0.0433331420223879,0.137031426962301
PLAGL1,0.0514749720275137,,0.0290125905370581,0.0917458669189512
POU4F2,,,0.0269713262487868,0.0852908224616515
PPARGC1A,0.14899253164072,0.142943980196313,0.00978095515690976,0.143564788159565
PRDM1,0.164922659464226,0.148311478014152,0.0111608234539027,0.163818484916977
PRDM16,,,0.0374030930560571,0.0805825211944601
PROX1,0.102364642013243,,0.0127891824766436,0.127891824766436
PRRX2,,,0.0311397592448412,0.098472565002983
PSAP,,,0.0558301624552613,0.0558301624552613
PTF1A,0.0515313446406095,,0.0464441254590814,0.100060835037238
RBMS1,0.0841951011283126,,0.0731876995070356,0.157678118701587
RBPJ,,,0.060672647635831,0.060672647635831
RERE,0.0331988100793989,,0.0477012049348492,0.102769130667959
REXO1,,,0.0464843846706241,0.100147570879179
RREB1,0.127104725813887,0.121403598263864,0.0235023511084341,0.160119654143917
