perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Best_RMSE_Model,Best_Pearson_Model
HES7,0.3456536083150045,0.1160252066658543,0.3450251038400167,0.1075293219937356,0.4032994078638278,0.0787062416856037,0.3455444433287488,0.1119723078500779,0.3451209002665621,0.1208852019542092,XGBoost,ElasticNet_1024
HIVEP1,0.1497944651784519,0.087267306882881,0.1487078339928343,0.1093737179062343,0.1705774907158642,0.0084646053894803,0.1487401306309676,0.1118582255852805,0.1489693755985518,0.1110740155795539,XGBoost,ElasticNet
HMGN2,0.1758917481759574,0.069304850975644,0.1728336211176238,0.1024532040096582,0.1814830941633315,0.0558448626103224,0.172298221989655,0.111849644825188,0.1728055476515784,0.079801584608566,ElasticNet,ElasticNet
PAX2,0.1604240169511508,0.092826598536414,0.1594266623270385,0.1090493025923844,0.170977368027888,0.0617518681185155,0.159572291639109,0.1114049568368838,0.159394137974447,0.1194401820578261,ElasticNet_1024,ElasticNet_1024
STAT2,0.2279216616730071,0.1008221555184543,0.2272255946992599,0.1156427683176252,0.2461906645870729,0.0400437570731913,0.2274474042266942,0.1108307322189937,0.2272525161283524,0.1142957214100399,XGBoost,XGBoost
TBX5,0.2026021816750075,0.0874786909579493,0.1966747375950912,0.0645589971040234,0.1901161154656377,0.0495447603264753,0.1997139086684594,0.1106220606932465,0.2000234802051232,0.1009320638973663,MLP,ElasticNet
EGR3,0.1560158117080519,0.074864004786264,0.1546855041465117,0.1001803429286208,0.1691696850088504,0.0188275244970965,0.1546477986688492,0.1097256568713888,0.1544456387605114,0.122342729591401,ElasticNet_1024,ElasticNet_1024
FOXI3,0.1720351281282998,0.1015933501828408,0.1714985058476051,0.1159743406125912,0.191448669131767,0.0510237823014213,0.1716856969676962,0.1063032385147062,0.1711523755214246,0.1312359011331268,ElasticNet_1024,ElasticNet_1024
RERE,0.1390966924459533,0.0623244272272316,0.1385556905343596,0.0905464967202511,0.1589860355721288,0.0079590824191465,0.1382876249250118,0.1051230303560301,0.1385403383377662,0.0980442218767734,ElasticNet,ElasticNet
ATF3,0.1061724870961297,0.0982786248480524,0.105951851564712,0.1031148063437106,0.1122226728123388,0.0189692685946324,0.105146519140555,0.1026661157856896,0.1053543230940037,0.0867085395494142,ElasticNet,XGBoost
GSC,0.1863556533466808,0.0589350381600271,0.1853450627364928,0.0826143125950673,0.2044115726245344,0.0135133857899486,0.185158223923255,0.1001924759650318,0.1848707695747286,0.1188500026732811,ElasticNet_1024,ElasticNet_1024
KLF15,0.1274059910767855,0.067829721885996,0.1262597791120112,0.0996415787703393,0.1430808861986333,0.0424019593711831,0.1262547052658986,0.0984121934602436,0.1262536937076122,0.1119054344078311,ElasticNet_1024,ElasticNet_1024
PSAP,0.1373735715855886,0.0884941675033927,0.1338087610830267,0.0662524258200035,0.1414157742745228,0.0046952897860595,0.1335321520583052,0.0974139275069876,0.1337637894520741,0.1004511707418249,ElasticNet,ElasticNet_1024
MYCN,0.2162436336691948,0.094278543907024,0.2142322791471781,0.1586687275195546,0.225671914484079,0.0524412283065456,0.2162243844444808,0.0950890933056061,0.2136804216906342,0.1782238141121528,ElasticNet_1024,ElasticNet_1024
ETS1,0.1904616419949342,0.0913266352784258,0.1900345344409118,0.094914576295845,0.2114454960290115,0.0306455436189737,0.189753779182727,0.0932974686050803,0.1897472420060555,0.1035304512198433,ElasticNet_1024,ElasticNet_1024
EPAS1,0.0975723934204946,0.1021158685752581,0.0947744050807008,0.0880165667527955,0.0968035522088485,0.0487542954455142,0.0956165688267223,0.0930687290788655,0.0957439810678053,0.0776367589844049,XGBoost,KNN
