perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson
ELF4,0.11076428111477812,0.04382169470086156,0.1104607297671359,0.0374650134805976,0.1265588887530425,-0.021908826481406,0.1104219900159914,0.058371815997911705,0.1105597501796336,0.00801795455338138
ELK3,0.09024773323972025,0.06376292118714198,0.0896355077013176,0.0447660664936881,0.0986415737217419,0.0006562206401916,0.08944472519872168,0.0748480988984911,0.08963695659265913,0.0359096837300108
EOMES,0.36473431734793504,0.021708787213246355,0.3629518182126142,-0.0020189878392772,0.3697852095625986,0.033371711700451,0.3591432951391864,-0.0441212866708661,0.3591573353000418,-0.015291637921850926
EP300,0.1396837573562408,0.08310440967662781,0.1394844113970113,0.0607182524956389,0.1639498994936785,0.004560966341077,0.1393327412969704,0.08609630454649878,0.1395589169390718,0.06942919450275446
EPAS1,0.09757239342049469,0.10211586857525812,0.0947744050807008,0.0880165667527955,0.0968035522088485,0.0487542954455142,0.09561656882672238,0.0930687290788655,0.09574398106780534,0.07763675898440496
ESX1,0.19288956326747464,-0.0010643273579985083,0.1911349914326192,-0.0005129619686627,0.2064107115815711,-0.0452514613617585,0.191388944291036,-0.028932253945361752,0.1913758529782918,
ETS1,0.19046164199493426,0.09132663527842583,0.1900345344409118,0.094914576295845,0.2114454960290115,0.0306455436189737,0.189753779182727,0.09329746860508038,0.18974724200605558,0.10353045121984339
FEZF2,0.1722364280110541,0.021354127158462483,0.1714135284784562,0.0381183740542026,0.1998919643305695,-0.0444812660400667,0.171140518642541,0.02872677277111188,0.1711139905385488,0.03140366916906634
FLI1,0.24388568574416444,0.016006662334908956,0.241949144737728,0.0377510963135868,0.2717296444665121,-0.0012484275003625,0.2418384865868636,-0.008372927002317,0.24144218061569198,0.04962442362649808
FOSB,0.15371356341145773,0.17926764024667047,0.1521765031697764,0.1981917364973522,0.1651663048959345,0.0687486693688874,0.1532160275004962,0.18331304937734058,0.15203057625951702,0.22240649766863257
FOSL1,0.12301259490314649,0.05607218061089865,0.1226940015089335,0.0568716793880583,0.1335965250487104,-0.022820104630546,0.12276767497181659,0.05758242018840348,0.1228656474952646,0.04064006210888354
FOSL2,0.1840056338230816,0.042143566431687776,0.1835495737293718,0.0449441017735072,0.2089564692298928,0.0218330613380175,0.1835375939702216,0.057496107409115815,0.1837679085769364,0.05352050982374349
FOXA3,0.20368432758752153,0.06824768982456407,0.2034519085183437,0.0113010898178525,0.2407416449809262,0.0141433904820547,0.2035604152386164,0.028758289708311457,0.2035735566819044,0.01993381824113214
FOXC1,0.21585184036468535,0.014167269487304679,0.2152119252203666,-0.0097684150805498,0.2218436769198435,0.0420978476503388,0.21497833570905378,0.0017081584960949667,0.2149747546426116,-0.0094784180462413
FOXC2,0.3159222057271319,0.016126712986316093,0.3146867783408171,0.0179012615925578,0.3156382785011011,0.0238659079285483,0.31443025049933243,0.02235196113614734,0.31449976985275957,0.006387982417228299
FOXD1,0.13360959555394955,0.03774089644274479,0.1335434812857288,0.0075738721308159,0.1352511561112754,-0.001013348254896,0.1323673811516996,0.03471361477334358,0.132410493150325,-0.041268144833311
FOXD2,0.1220679799066909,0.015924490950973792,0.1210718652044633,0.0362921548278951,0.1408693746444984,-0.0749116619735441,0.12080243227168,0.08059466339387225,0.1209594436819574,0.08639573839317935
FOXD3,0.21734540409243014,0.009306038635213086,0.2160659866627622,0.0499200910845034,0.2356418283039239,0.0407660572109552,0.2162382847725192,0.0372510383738707,0.21638462268662823,-0.059425314943072
FOXE1,0.25288483452069793,0.03315216430611588,0.2508789959827004,0.0337262326664347,0.2679109067008739,0.0447869535633961,0.2500006602451024,-0.0330286973497106,0.2499750954608964,-0.0256177625871315
FOXE3,0.16155418016374762,0.06287614310004938,0.1609602694978009,0.0763123921088518,0.1786094256330425,0.0785103005656767,0.16089305366051,0.08447607236675542,0.1611422487172458,0.06286237151572131
FOXF1,0.18367969869938783,0.12222766654847819,0.1824015447233744,0.1436958302823123,0.2004581874139259,0.0423985920439772,0.1825960380044136,0.1441480557735802,0.18255703376583302,0.1546659135186176
FOXF2,0.14611752570199543,0.1187793912807347,0.1453438276430989,0.1296881130237731,0.1624889815731884,0.0579789920005251,0.1450848998846094,0.148489496533485,0.145107837530292,0.146731232802337
FOXI3,0.17203512812829982,0.10159335018284085,0.1714985058476051,0.1159743406125912,0.191448669131767,0.0510237823014213,0.1716856969676962,0.10630323851470629,0.1711523755214246,0.1312359011331268
FOXJ1,0.2566047768430108,0.04506378286385247,0.2509539801540922,0.04657800343701,0.1914429079170447,0.0523930608456902,0.2325821795007422,-0.0240032440160625,0.232601823362798,-0.02664920675625225
FOXL2,0.15651233786001795,0.10172423050071452,0.1557784917765805,0.1059191956034004,0.1783975369838963,0.0237056257435152,0.1552682946111096,0.12059998749577083,0.1549791001440658,0.13273450318802724
FOXP4,0.15097884210619103,0.029511558096194473,0.1494892698527991,0.0817010937442208,0.1715214062661685,-0.003848568486241,0.149545649766056,0.07600194848875992,0.14949223254864757,0.07705307145627587
GATA2,0.27862104147097294,0.08087897363183899,0.2748528051321335,0.1152248189036899,0.2825983023316049,0.0353064947775024,0.2758363359866286,0.08614301768104302,0.2743131515256566,0.1386976691281971
GATA3,0.14423105022820754,0.1314701584060986,0.1432747857157452,0.163817921905583,0.1649098705358055,0.033774195551552,0.14403682127778059,0.1347080389654732,0.1433579652992554,0.16869174535618062
GATA4,0.2125310302001131,0.0816926740410559,0.2121821405314439,0.0871644712106321,0.236970585485328,0.017697615521692,0.212157704769601,0.07733124947171544,0.21249844776778679,0.04687249181227706
GATA6,0.23212707631327764,0.0984917477970679,0.2318575012971598,0.0752126682107125,0.276074813154118,0.0249525995828656,0.2316244206182454,0.09751830223538085,0.2317321637722684,0.09519110088542931
GFI1,0.13983047974681662,0.037100117891582976,0.1385596012153646,0.0512755659599291,0.1750084298430881,-0.0233291055474473,0.13871556606729019,0.06415009116428919,0.1386652275675302,0.05497301549371429
GLI1,0.2010430455439726,0.0769114226121623,0.2007092268911137,0.0390920245459024,0.2026671762343304,0.025533840076439,0.2004453582756886,0.0668740579639327,0.2005264366399208,0.05421586955108256
GLIS3,0.15910849227970666,0.0519938769521547,0.158009043921301,0.0540699285150152,0.1738890825700891,0.0085055947370287,0.15783138004991798,0.07312128990753157,0.1580330663670006,0.051844063305050495
GSC,0.1863556533466808,0.058935038160027195,0.1853450627364928,0.0826143125950673,0.2044115726245344,0.0135133857899486,0.185158223923255,0.10019247596503185,0.18487076957472862,0.11885000267328116
GSX2,0.17239669660557297,0.05472732162191907,0.1718241389842302,0.0736222382056302,0.1930063966151604,0.0354342836603235,0.17174680615071541,0.07279442317294228,0.1715945067805894,0.0852539580905997
GTF2B,0.16210203816269703,0.05476016946236082,0.1606799079461783,0.0751088533675509,0.1726068614488508,0.0511999319705014,0.16032080164162402,0.08395303440451293,0.1607524230439618,0.032575407818094385
HAND1,0.20287395548030637,0.05287470048807626,0.1947833614516318,0.0453411494472179,0.1528400082308018,0.0796939353863287,0.19437383578135542,0.057663705441073465,0.19461220194353798,0.029867636170943356
HELZ2,0.230577350843161,0.25093866022526856,0.2272105512790194,0.2882838454361488,0.231823596480286,0.1812064315015374,0.23000979795197382,0.2437649719279856,0.2230654699195968,0.3423591272642676
HES4,0.2577387020075015,-0.012211719924807731,0.2174239587691189,-0.014874397525785,0.1674903204513484,0.0229224317068708,0.21138769094869542,-0.0195843661550617,0.211400646028298,-0.020321207139888966
HES5,0.10116808639333112,0.06028264370577504,0.1010083267972652,0.049789899274759,0.1182775169639551,-0.0195015173970663,0.10113123723974562,0.02674140058398492,0.10114410584244213,
HES7,0.3456536083150045,0.11602520666585432,0.3450251038400167,0.1075293219937356,0.4032994078638278,0.0787062416856037,0.3455444433287488,0.11197230785007797,0.34512090026656217,0.12088520195420926
HHEX,0.20718990360149717,0.05724165375496446,0.2064229738492886,0.0786337981645104,0.2234272139992838,-0.0360579839846369,0.206834271215164,0.04751664968308962,0.20504621911984722,0.1397348308820418
HIC1,0.13462889326936558,0.05167983063909357,0.1343236977356402,0.0281418032110766,0.1534690828396428,0.0358605374804171,0.13384286583791621,0.04625731994279608,0.1338423410483484,0.051949695909480176
HIVEP1,0.14979446517845194,0.08726730688288106,0.1487078339928343,0.1093737179062343,0.1705774907158642,0.0084646053894803,0.1487401306309676,0.11185822558528055,0.1489693755985518,0.11107401557955392
HMGA1,0.1923668711950966,0.033476052267129415,0.1901927736961808,0.0118676657499162,0.2009222617222406,-0.0011729432458894,0.1898643069161126,0.03923515174041,0.189982045433184,0.010456249011428161
HMGN2,0.17589174817595746,0.06930485097564401,0.1728336211176238,0.1024532040096582,0.1814830941633315,0.0558448626103224,0.172298221989655,0.11184964482518808,0.1728055476515784,0.07980158460856604
HMX3,0.18206789702403697,0.01697718349142307,0.1812870850175136,0.0262625257614859,0.1921261040166973,0.0429683684054804,0.1813147992521178,0.026862455789766322,0.1813607017802556,-0.0129622903859767
HNF1B,0.3067151861592747,0.028137705947215978,0.3054791632155502,0.0746716906328708,0.3132561521491721,-0.0038149005698341,0.3050967176496292,0.05385308249393792,0.3055251459437584,-0.019702208680435672
HNRNPAB,0.46156228143375355,0.02734779972671299,0.4590915858165115,0.0605984677254239,0.478306710079083,-0.0335999582381075,0.4590937842378088,0.06277282042387003,0.45944427735202586,0.0419413212141381
HOXA13,0.2870608395358337,0.043535545668321136,0.2853226210723726,0.0287482247338403,0.2694580025499862,0.0588461467792597,0.2851164077269418,0.05712767420714924,0.285492539152633,0.0146427564167612
