perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson
BNC2,0.12727342617878137,0.04575797040255959,0.1266637551424852,0.0813036743579516,0.1476413857517272,0.0180365366774063,0.126904712440024,0.05654242553759684,0.1270576604995118,0.02635967115452214
BPTF,0.13304163384777284,0.032336618767549445,0.131766811554306,0.0637227246395925,0.1453133632755468,0.0564478426090341,0.1318979640643274,0.046512943029093104,0.1318959374629966,0.053726335927187244
BSX,0.19047435583931202,0.10856167765934248,0.1909033739807081,0.0857020852112834,0.2083484623981653,0.0810405193660456,0.1897691573038532,0.13852723480620768,0.1883374566129876,0.18355249008633517
CARHSP1,0.17188134341613429,0.016763157344352967,0.1571426373017384,0.01491166939865,0.1122201491994975,0.0084479872851962,0.14144227935047476,0.08165239315765313,0.14178231639107952,-0.0044670330422185
CASZ1,0.25886422299186174,0.016819169116270852,0.2568879636852766,0.0475398296297812,0.2683133281903163,0.0245869156502937,0.2567339657452016,0.04662868623019156,0.2568095923244726,0.030389749185296654
CDX2,0.1678097470968203,0.07490009761739742,0.1683580285319535,0.0179080402309917,0.1917950559735116,0.0941621456752705,0.166766462538009,0.097015106968563,0.1665476987319668,0.11060258766632565
CEBPA,0.22199364876976965,0.06547408033731787,0.2216756111441341,0.0583948485584717,0.2455588422535964,-0.0140823458654107,0.2204882433316404,0.10311624324439879,0.2209556022696948,0.07815449071575789
CEBPB,0.20520384352739762,0.0663777688307277,0.2044441330088728,0.0928527942316614,0.2193254922665666,0.0253898330177483,0.2045859792908682,0.08294289081183956,0.204919864989865,0.07281531955496548
CREBBP,0.10660901364313083,0.032131235918948176,0.1059863779510339,0.0679548085975366,0.1407860108380287,-0.1034089876846826,0.10592982043627659,0.08331993766210134,0.10602805139550986,0.07167392700350785
DLX2,0.115339722394835,0.024809104545582526,0.1147956995418564,0.0130877923339442,0.1470139004351763,-0.026992304680097,0.1147312816823288,0.03836273781594128,0.11481051341730959,0.0026947701429170003
DLX3,0.1674700594623359,0.011005781795346725,0.1658892142800925,0.0260048991317889,0.2075722877118019,0.0024493408987254,0.1646282497759482,0.05528467930297398,0.1645826633870722,0.07293180579195609
DMRT1,0.15649767261399755,0.055983279468349356,0.1562796394549956,0.0404703732840109,0.1804643202832614,0.0814377436560135,0.1562990594853372,0.02071332837671134,0.15621265244934462,0.031038485344080942
DNAJC1,0.13510599963127753,0.03318694570490352,0.1251781132123616,-0.0027828450428813,0.1119212232287817,0.0659595472413728,0.1230463699153574,-0.0008938659339525328,0.12304345177326015,-0.0021375056081492996
EBF2,0.13596677713188762,0.041048147367787016,0.1344535747862842,0.0997838413424574,0.1527956318110457,0.0617976046054454,0.1344510248510502,0.1150692588177469,0.1348924334530506,0.09250024670077941
EBF3,0.19148676729234146,0.01280314808064954,0.190236848717394,0.068887883188082,0.2130562812171309,0.0781075256395529,0.1898578132570086,0.08905160428136168,0.1897184084743992,0.10520012373422385
EGR2,0.14629818223235314,0.019936575693711277,0.1448539733858832,0.0444247564997604,0.1928377959793884,0.0066807754773416,0.1450079742620478,0.05957726348582763,0.145089085349366,0.0409705607665803
EGR3,0.15521363437667055,0.08206251301963871,0.154335798155248,0.1004088805188449,0.1947045239814495,0.0191124496915037,0.154672615906323,0.0862259681053783,0.15448271625627458,0.10107338320796984
ELF4,0.11062169952747845,0.07350220517025496,0.1104320473076258,0.0812487626195838,0.12458229324071,0.0912611049459889,0.1102501616609926,0.09636349613820748,0.11032557854555,0.09545189226953364
ELK3,0.08985960385267577,0.09678415814435375,0.09003387574227,0.0625673441509245,0.0992345444544944,0.0535217673251759,0.0889396931868078,0.11959456365970508,0.08907850579091851,0.10339277278024492
EOMES,0.36117773479957777,0.10736748888165423,0.3535382380855628,0.1646276125729828,0.370854061079374,0.1673001605071877,0.35567598890491936,0.1531630785548199,0.3543006977888302,0.18067498534940318
EP300,0.1389615239430916,0.10553961873493774,0.139001430196488,0.0913111023783538,0.1616400012533348,0.1080897134190432,0.138499261178174,0.12454162097671342,0.1367437926894468,0.20063039412717001
EPAS1,0.0970134365687684,0.09933849829505104,0.0958299546763075,0.0683008581708374,0.1426303148753806,0.0343366806170497,0.09486374161845679,0.11513218522808093,0.09522083024110503,0.07661259400226061
