perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
MECOM,0.2417059794187005,-0.0254150020492379,0.2357457775897228
MESP1,0.1066743142523449,0.0694198419592941,0.1147870642816345
MKX,0.1553978849891172,0.0727626513467867,0.1585352678271212
MLXIP,0.1639007519700734,0.0465028323483356,0.1682781436066703
MMP3,0.1380594547336137,0.0269001206673257,0.3322062603586465
MNX1,0.1872935350180817,0.0735733484858938,0.1881525985371361
MXI1,0.1996068931110719,0.2021567929475306,0.2037580018775356
MYBL1,0.1901445504469936,0.0618164268820411,0.1795639025674896
MYC,0.1934951716721718,0.2421993819538807,0.2060285564229002
MYCN,0.2312324414901713,0.0781357896750252,0.2341079374893001
MYOD1,0.1488093182634043,-0.0115590576092322,0.1471095811133596
MYRF,0.1707093425058446,-0.0024934165352436,0.1851211757062204
NCOA3,0.1248347158302111,0.0305612243148635,0.1383874038336521
NEUROD1,0.1701500622076709,0.1318845438020967,0.1807414897977547
NEUROD2,0.2639594631184454,0.0932062923070963,0.2825436738266034
NFATC1,0.1623684458860929,0.0008234798805203,0.1786563190118306
NFE2,0.157889614415355,0.0562481299211018,0.1686380058379228
NFE2L2,0.2770589173344207,0.1523548077158506,0.1865859164200859
NFKBIA,0.1599834741820696,-0.0183714279933001,0.1843324005242331
NHP2,0.1895386799201941,0.0838320029204911,0.1541113146763519
NKX1-2,0.1708365588223332,0.0556049338663798,0.1660113692927884
NKX3-1,0.225102674181363,0.0939796189149391,0.2203456568859639
NKX3-2,0.173977724117006,0.0341790585878112,0.1750864360483021
NKX6-2,0.1260793953100075,0.0910404992224232,0.1344877415585013
NME2,0.2116306283563689,0.067150679754841,0.1013805456680937
NOTO,0.1499868437010924,0.0296274153612918,0.1444172698654375
NR2F2,0.1720642079255707,0.0671045466859754,0.162150620652779
NR4A1,0.2237410802916757,-0.0047562501794015,0.2259920737897755
NR4A3,0.1988954252537466,0.0064284489348683,0.2114650992325057
NSD2,0.2124816083665984,0.0846005630082732,0.2133617289413326
ONECUT3,0.1478387533342792,0.0025329063945711,0.1478607856809199
OSR1,0.166464975018225,0.0262897992108731,0.1615522024053302
OSR2,0.1674081984454317,0.0156654582338868,0.1701713133651675
OVOL1,0.2384387277911936,0.1429282934783322,0.2385756499406684
OVOL2,0.2218659744992834,0.1113685722421725,0.2253550994390334
PARP1,0.1542706649333914,-0.0034068512899979,0.1722582066947023
PAX2,0.1760826413514531,0.1046510621797837,0.1823002037573823
PAX3,0.1969096292895006,-0.0099226032515507,0.1821136765068187
PAX5,0.2028314593436078,0.058694949706411,0.2024031823447418
PDX1,0.1563698823557368,0.0067333741939587,0.1450571539975163
PHOX2A,0.1670560147346263,0.0430254254738086,0.1704730628087596
PITX1,0.1197818088244352,0.0528436839410923,0.1277582568280607
PLAG1,0.2423979466957326,0.0274129871566646,0.2689568286887054
PLAGL1,0.4091525757597162,0.0003089919831926,0.1863959788395499
POU4F2,0.1576381477077897,0.0428147427393039,0.168275871845994
PPARGC1A,0.251558197260872,0.1730282487468837,0.2637873951952538
PRDM1,0.2162097245964615,0.1307441158162404,0.2119285154804
PRDM16,0.195475631532705,-0.0055092614317165,0.1916383320605192
PROX1,0.1562691278558217,0.0331586498739187,0.1634891795635078
PRRX2,0.1331974792242861,0.042410416230329,0.1468392995234641
PSAP,0.1452489405512234,-0.0024962270965851,0.1616606910887207
PTF1A,0.1546475135426773,0.0658179211581566,0.1556461668658122
RBMS1,0.1230141807739725,0.0141084194614659,0.1198423222881655
RBPJ,0.1485229578487238,0.0124930757853125,0.1489525553766977
RERE,0.1559249459419243,0.0211590315423621,0.1635481199725858
REXO1,0.2029091459256337,-0.056915780447378,0.1937423691767517
RREB1,0.1330112164941822,0.0641556328291072,0.1366561220249431
RUNX1,0.2084166837560895,-0.0129962991238344,0.1995598277852062
RUNX2,0.2354794448062335,-0.0088768473633009,0.2357894420800711
SALL1,0.1697427707386825,0.0438714183042625,0.169340373788954
SALL3,0.1343721451702931,0.1140124724349002,0.1395385937870463
SATB2,0.1228893782877564,-0.0081982350980541,0.1251205971293968
SIX4,0.1889274876621556,-0.0346591326968857,0.1794482072131784
SMAD1,0.19388427593714,0.0519151739321825,0.1811482631099069
SMAD5,0.1835331137567923,0.1064141630976011,0.1937288286745004
SMAD6,0.1604863143655468,0.0946914617660772,0.1689499589751618
SMARCA1,0.1703457730362847,0.0265856070437333,0.1834554934319087
