perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
NKX3-2,0.1632665025453642,0.0806630806697318,0.1776463805832018
NKX6-2,0.125946052022319,-0.0159915604245786,0.1342850638739387
NME2,0.1065938412177856,-0.0027402246023338,0.1375377887774562
NOTO,0.1398688776186979,0.0312246995212491,0.1482626636219531
NR2F2,0.1698262057272427,0.025845133732115,0.1648711773950136
NR4A1,0.2226780893775397,-0.0166663788132559,0.2291805408996875
NR4A3,0.172867268848144,0.0522845843773957,0.2192814597730133
NSD2,0.2300638140717948,0.0378506608716557,0.2130319212871759
ONECUT3,0.1483983031883401,0.0324042939298817,0.1516066646167307
OSR1,0.1517677619247112,0.0120877152642871,0.1646999851245072
OSR2,0.1800090530641173,0.0489966377109077,0.1660300027372892
OVOL1,0.2198076033189298,0.0429073475149793,0.2487768956315476
OVOL2,0.2237816953040357,-0.0069860777384344,0.2318235340345143
PARP1,0.2182193661641106,-0.0081284973742139,0.1522750487550886
PAX2,0.170977368027888,0.0617518681185155,0.1854067115943098
PAX3,0.1688027507304429,0.0273053734251252,0.1891897997043828
PAX5,0.2097255448300489,-0.0327378600387359,0.2048427582860544
PDX1,0.1407800888777198,0.0066224794141275,0.1505020093603608
PHOX2A,0.1645873134004364,0.055743079338818,0.1701128830992364
PITX1,0.1164339024358359,-1.840960355477243e-05,0.1296048184805823
PLAG1,0.2262748709712396,0.0416454184309106,0.2675845667044964
PLAGL1,0.1903218321877292,0.0265809208117133,0.2459257651620453
POU4F2,0.1763543972750106,-0.0020950205571319,0.1637147440012301
PPARGC1A,0.29801093949727,-0.0062725301109553,0.2576179941475926
PRDM1,0.2171626408114051,-0.0146089163436431,0.2149023331626307
PRDM16,0.1904548501315822,0.0223425951275384,0.1951621239919873
PROX1,0.1627829315520967,0.0166537369190881,0.1597026398948764
PRRX2,0.1344502475316058,-0.0126817991778667,0.1484477756628295
PSAP,0.1414157742745228,0.0046952897860595,0.1585527322193921
PTF1A,0.1480867714574107,0.0396790622298841,0.1558499738358151
RBMS1,0.1204937518028249,-0.0312803639273419,0.1179396834484694
RBPJ,0.1371282176474307,0.0184379997641923,0.147221944608569
RERE,0.1589860355721288,0.0079590824191465,0.1608403062110091
REXO1,0.1930932192219345,-0.0389242954037564,0.194004293130609
RREB1,0.135940595330027,-0.0339316376525438,0.1377924558589781
RUNX1,0.2008449156522102,0.0155934107310886,0.203068494802425
RUNX2,0.2393315883335573,-0.0026751046890806,0.2359641220035024
SALL1,0.1711342862640787,0.0248621394923221,0.1714432841120706
SALL3,0.1286988501480259,0.0391022986418032,0.1415797235790474
SATB2,0.1172795757287689,0.0127268706893828,0.1240079373363763
SIX4,0.1845066932942406,0.0006365402655102,0.1790492635205077
SMAD1,0.1708909313562885,0.0688924114553241,0.1859980685307428
SMAD5,0.1822610054092753,0.0692776565758456,0.1950997395946584
SMAD6,0.1791883654789878,0.0227611174841051,0.1669222741389112
SMARCA1,0.1681566425790297,-0.009825920002959,0.1862974619623501
SMARCA2,0.1592514764627408,-0.0230186278328611,0.1141654021054382
SNAI1,0.164152193641323,0.0701763794198598,0.1815499807866253
SOX8,0.1885006612094645,-0.004738844917221,0.1919169738006174
SOX9,0.1812222882618712,-0.0013268211456094,0.1907595417650474
SOX11,0.287499381871088,-0.006491034923086,0.3010582925536444
SOX12,0.12228366308984,0.027193848191745,0.1352966559449196
SOX13,0.202684966830567,-0.003598305158409,0.2052830731295951
SOX15,0.1816725171753076,-0.0109878938022025,0.1768878512332158
SOX17,0.1590839214934709,-0.0008540022880619,0.1658641981474758
SOX18,0.2395198187438727,0.0473731097318906,0.2358847378142066
SP3,0.1684352416332036,-0.0049489916155354,0.1687008379594458
SRF,0.153183266901605,-0.0008430005206413,0.1616725998964738
STAT2,0.2461906645870729,0.0400437570731913,0.2456666986922622
SUZ12,0.0973876862966459,0.0399867404825902,0.1020514967268649
TBX3,0.1452995299632465,0.0872441268434002,0.1585852059185717
TBX5,0.1901161154656377,0.0495447603264753,0.2271092857619392
TBX18,0.1384679799322436,0.0481863858580413,0.1468225965670537
TBX20,0.1524727758981094,0.0583166817230689,0.1720638154148632
TBX21,0.2032287882111711,0.0396403317807218,0.2298020558647019
TCF7L1,0.1351979802675875,0.0454899625660599,0.1384517259624852
TEAD3,0.1216590325589551,0.0897254549338551,0.1330465535378988
TFAP2A,0.1894835543821569,0.0221426979376624,0.1753469254241126
TFAP2C,0.1860172459563872,0.0360277666161909,0.1853432078058091
TFAP2E,0.2782912806856236,-0.0323696826468536,0.276532847168827
TFCP2L1,0.139484841701798,-0.0299197880051504,0.1507340423481285
TGIF1,0.1846609076080329,-0.0286348434078473,0.1822662104911354
THRA,0.1454128491883942,0.084019992922055,0.1511450500015674
TLX1,0.203134379012204,0.0051906710998354,0.2161289050663468
TONSL,0.1347420878790255,0.0310478304479439,0.1447632961286347
TOX,0.1034028360320378,0.0213736571229378,0.1133793234370168
TP73,0.2490105005601375,0.0460790444488403,0.288888484556545
TRIM22,0.137667375664706,-0.0065761121926886,0.1566433210309216
TRIM24,0.1542994243131235,-0.0024217851878157,0.1624535958448104
TRIM28,0.1098246138702266,0.0006747786548559,0.1425434315563499
TSC22D1,0.1793432651822221,-0.0523878025985735,0.1335469283505963
TSHZ1,0.220608186768357,-0.0499716853938831,0.2141055977512889
