TF,k,MSE,RMSE,Pearson,Spearman
GATA4,50,0.04449789579272074,0.21094524358875869,0.14324208169569047,0.1448273289371911
GATA6,100,0.05374705848004694,0.23183411845551755,0.10644043832106673,0.10372380704368338
GFI1,100,0.0195349416134096,0.13976745548735442,0.0813315938773195,0.04841381858502839
GLI1,25,0.04063499500625335,0.2015812367415513,0.09215488865022774,0.029895954277714826
GLIS3,100,0.024858025787979493,0.15766428190297094,0.09984645580649838,0.11252022896909245
GSC,100,0.034525640874415564,0.18581076630382742,0.08818431774496686,0.08802086817795318
GSX2,75,0.02978170249014578,0.172573759564268,0.053547601487462335,0.044510938563494126
GTF2B,75,0.026539159444512607,0.16290843883762623,0.02128924221739454,0.005511439307884293
HAND1,100,0.040992825254243644,0.20246684976618676,0.005132322085393392,0.0460215695668076
HELZ2,75,0.05313769156256998,0.23051614165296533,0.25030552373547416,0.1262604763754998
HES4,100,0.0657602911745293,0.25643769452740234,0.017031834311768412,0.02250677548401288
HES5,75,0.01021663646733879,0.10107737861331184,0.07051752146125624,0.07056879783204266
HES7,50,0.11871410284077441,0.34454912979250785,0.15074567387683896,0.1765281100629883
HHEX,50,0.04245998236031073,0.2060582013905555,0.1119216511138478,0.07828769178381427
HIC1,50,0.018173260432090076,0.13480823577248563,0.041600127091478936,0.03386441703827733
HIVEP1,75,0.021570791048071154,0.14686998007786053,0.18859355886936294,0.164240044467253
HMGA1,75,0.03666148862491751,0.19147190035333517,0.05299681000531294,0.036596002119730124
HMGN2,100,0.030517684519312055,0.1746931152601958,0.09360260099141389,0.08238184234813448
HMX3,50,0.03291450485751794,0.18142355100018834,0.06765178231477166,0.06588415011887493
HNF1B,100,0.09459010244090593,0.30755503969355785,0.01627176094966987,0.017353756277361868
HNRNPAB,50,0.21325170924171868,0.4617918462269756,0.045147847993350934,0.034861856830156836
HOXA13,100,0.08219198227927778,0.2866914408894653,0.03392789874720074,0.028249830339707228
HOXC9,100,0.03922107640925099,0.19804311755082776,0.04223758251305114,0.03794015059692686
HOXC13,100,0.07105502464163795,0.26656148379246003,0.020067249287224902,0.014973416189721677
IFI16,100,0.020547511056721375,0.14334403041885413,0.019635303546489298,0.014332954689154177
