TF,k,MSE,RMSE,Pearson,Spearman
EBF3,100,0.03650476979919608,0.19106221447265828,0.06095892515576483,0.053908036559219316
EGR2,100,0.021362250795696185,0.14615830730990348,0.0492920146915435,0.05457404061777523
EGR3,50,0.024340933502922327,0.15601581170805198,0.07486400478626407,0.06898670426597445
ELF4,100,0.012268725970873593,0.11076428111477812,0.04382169470086156,0.04414489488557891
ELK3,100,0.008144653354907709,0.09024773323972025,0.06376292118714198,0.07152714145562541
EOMES,75,0.1330311222512642,0.36473431734793504,0.021708787213246355,0.021517667924615173
EP300,100,0.019511552069157157,0.1396837573562408,0.08310440967662781,0.0797006055339045
EPAS1,100,0.009520371957803794,0.09757239342049469,0.10211586857525812,0.11442972973169921
ESX1,75,0.0372063836175171,0.19288956326747464,-0.0010643273579985083,0.014025854440259628
ETS1,100,0.036275637071406505,0.19046164199493426,0.09132663527842583,0.0767848656763225
FEZF2,75,0.029665387134007022,0.1722364280110541,0.021354127158462483,0.018396933249284854
FLI1,50,0.059480227710901334,0.24388568574416444,0.016006662334908956,0.00706910126963092
FOSB,100,0.023627859576648237,0.15371356341145773,0.17926764024667047,0.15731077606552074
FOSL1,100,0.015132098504805621,0.12301259490314649,0.05607218061089865,0.05751722571505692
FOSL2,100,0.03385807327863399,0.1840056338230816,0.042143566431687776,0.0412562587525136
FOXA3,100,0.04148730530478078,0.20368432758752153,0.06824768982456407,0.06533633140126063
FOXC1,100,0.04659201698882161,0.21585184036468535,0.014167269487304679,0.008446637023923505
FOXC2,100,0.09980684007149628,0.3159222057271319,0.016126712986316093,0.0106965078313395
FOXD1,50,0.017851524024089974,0.13360959555394955,0.03774089644274479,0.01988895679133503
FOXD2,75,0.014900591718500292,0.1220679799066909,0.015924490950973792,0.020767228765014467
FOXD3,100,0.04723902468010175,0.21734540409243014,0.009306038635213086,0.0034823135195150277
FOXE1,50,0.06395073953056078,0.25288483452069793,0.03315216430611588,0.02924197183139792
FOXE3,100,0.026099753128380622,0.16155418016374762,0.06287614310004938,0.05117226318784314
FOXF1,100,0.0337382317142979,0.18367969869938783,0.12222766654847819,0.13536619001897282
FOXF2,100,0.021350331317273298,0.14611752570199543,0.1187793912807347,0.12417259746259705
FOXI3,75,0.029596085310120535,0.17203512812829982,0.10159335018284085,0.09518967443083345
FOXJ1,100,0.06584601149865137,0.2566047768430108,0.04506378286385247,0.03699121720533102
FOXL2,50,0.024496111902408406,0.15651233786001795,0.10172423050071452,0.12032621386644204
FOXP4,50,0.02279461076372616,0.15097884210619103,0.029511558096194473,0.026660124538063757
